sequence,target,function
"[34, 13, -8, -29, -50, -71]",-92,arithmetic
"[20, 19, 18, 39, 37, 57]",76,padovan
"[2, 8, 12, 14, 22, 34]",48,generate_sequence
"[4, 15, 14, 18, 33, 47]",65,generate_sequence
"[14, 30, 3, 47, 80, 130]",257,tribonacci
"[11, 20, 14, 25, 45, 59]",84,generate_sequence
"[48, 38, 28, 18, 8, -2]",-12,arithmetic
"[92, 52, 12, -28, -68, -108]",-148,arithmetic
"[4, 24, 28, 52, 80, 132]",212,fibonacci
"[78, 91, 105, 120, 136, 153]",171,triangular_sequence_randomized
"[32, 40, 72, 112, 184, 296]",480,fibonacci
"[50, 156, 474, 1428, 4290, 12876]",38634,linear_recursive
"[20, 29, 49, 78, 127, 205]",332,fibonacci
"[21, 17, 18, 14, 15, 11]",12,alternating_add_subtract
"[18, 3, 12, 21, 15, 33]",36,padovan
"[48, 65, 130, 147, 294, 311]",622,alternating_sequence
"[28, 1, 30, 61, 152, 365]",882,pell
"[12, 29, 63, 131, 267, 539]",1083,linear_recursive
"[58, 31, 4, -23, -50, -77]",-104,arithmetic
"[2, 10, 9, 12, 19, 21]",31,padovan
"[57, 61, 69, 81, 97, 117]",141,step_up
"[22, 112, 562, 2812, 14062, 70312]",351562,linear_recursive
"[88, 86, 92, 90, 96, 94]",100,alternating_add_subtract
"[26, 30, 56, 86, 142, 228]",370,fibonacci
"[1, 7, 35, 41, 205, 211]",1055,alternating_sequence
"[105, 120, 136, 153, 171, 190]",210,triangular_sequence_randomized
"[2, 15, 19, 17, 34, 36]",51,padovan
"[94, 134, 174, 214, 254, 294]",334,arithmetic
"[171, 190, 210, 231, 253, 276]",300,triangular_sequence_randomized
"[1, 20, 7, 21, 27, 28]",48,padovan
"[1, 5, 13, 25, 41, 61]",85,step_up
"[12, 13, 15, 18, 22, 27]",33,step_up
"[44, 38, 42, 36, 40, 34]",38,alternating_add_subtract
"[36, 23, 59, 82, 141, 223]",364,fibonacci
"[6, 21, 36, 51, 66, 81]",96,arithmetic
"[67, 69, 71, 73, 75, 77]",79,arithmetic
"[26, 1, 28, 57, 142, 341]",824,pell
"[46, 40, 34, 28, 22, 16]",10,arithmetic
"[4, 28, 124, 508, 2044, 8188]",32764,linear_recursive
"[99, 130, 161, 192, 223, 254]",285,arithmetic
"[3, 6, 10, 15, 21, 28]",36,triangular_sequence_randomized
"[4, 11, 4, 15, 15, 19]",30,padovan
"[23, 37, 148, 162, 648, 662]",2648,alternating_sequence
"[73, 67, 73, 67, 73, 67]",73,alternating_add_subtract
"[25, 45, 14, 84, 143, 241]",468,tribonacci
"[26, 31, 93, 98, 294, 299]",897,alternating_sequence
"[2, 11, 10, 12, 23, 33]",45,generate_sequence
"[96, 135, 174, 213, 252, 291]",330,arithmetic
"[8, 19, 9, 27, 28, 36]",55,padovan
"[1, 3, 6, 10, 15, 21]",28,triangular_sequence_randomized
"[15, 12, 27, 39, 66, 105]",171,fibonacci
"[28, 3, 34, 71, 176, 423]",1022,pell
"[18, 8, 5, 26, 13, 31]",39,padovan
"[190, 210, 231, 253, 276, 300]",325,triangular_sequence_randomized
"[49, 35, 119, 273, 665, 1603]",3871,pell
"[12, 15, 21, 30, 42, 57]",75,step_up
"[45, 52, 208, 215, 860, 867]",3468,alternating_sequence
"[8, 16, 16, 24, 40, 56]",80,generate_sequence
"[31, 39, 109, 257, 623, 1503]",3629,pell
"[41, 38, 117, 272, 661, 1594]",3849,pell
"[6, 4, 9, 12, 20, 31]",50,fib_minus_const
"[8, 20, 17, 28, 37, 45]",65,padovan
"[29, 12, 16, 57, 85, 158]",300,tribonacci
"[72, 37, 2, -33, -68, -103]",-138,arithmetic
"[92, 111, 130, 149, 168, 187]",206,arithmetic
"[89, 135, 181, 227, 273, 319]",365,arithmetic
"[91, 76, 61, 46, 31, 16]",1,arithmetic
"[39, 21, 60, 81, 141, 222]",363,fibonacci
"[2, 4, 5, 8, 12, 19]",30,fib_minus_const
"[47, 30, 107, 244, 595, 1434]",3463,pell
"[19, 17, 5, 36, 22, 41]",58,padovan
"[14, 15, 17, 20, 24, 29]",35,step_up
"[13, 2, 10, 15, 12, 25]",27,padovan
"[10, 15, 21, 28, 36, 45]",55,triangular_sequence_randomized
"[14, 64, 114, 164, 214, 264]",314,arithmetic
"[12, 6, 24, 54, 132, 318]",768,pell
"[11, 18, 54, 61, 183, 190]",570,alternating_sequence
"[2, 11, 7, 13, 18, 20]",31,padovan
"[20, 4, 9, 24, 13, 33]",37,padovan
"[13, 2, 15, 17, 32, 49]",81,fibonacci
"[59, 107, 155, 203, 251, 299]",347,arithmetic
"[95, 133, 171, 209, 247, 285]",323,arithmetic
"[39, 44, 54, 69, 89, 114]",144,step_up
"[15, 2, 18, 33, 35, 53]",86,generate_sequence
"[14, 20, 5, 19, 39, 44]",63,generate_sequence
"[41, 49, 139, 327, 793, 1913]",4619,pell
"[39, 8, -23, -54, -85, -116]",-147,arithmetic
"[81, 53, 25, -3, -31, -59]",-87,arithmetic
"[18, 7, 12, 25, 19, 37]",44,padovan
"[14, 11, 6, 25, 17, 31]",42,padovan
"[7, 1, 5, -1, 3, -3]",1,alternating_add_subtract
"[9, 24, 39, 54, 69, 84]",99,arithmetic
"[22, 39, 78, 95, 190, 207]",414,alternating_sequence
"[18, 7, 17, 25, 24, 42]",49,padovan
"[15, 16, 31, 47, 78, 125]",203,fibonacci
"[8, 21, 22, 51, 94, 167]",312,tribonacci
"[20, 58, 96, 134, 172, 210]",248,arithmetic
"[12, 15, 45, 48, 144, 147]",441,alternating_sequence
"[62, 65, 71, 80, 92, 107]",125,step_up
"[36, 22, 58, 80, 138, 218]",356,fibonacci
"[19, 44, 41, 104, 189, 334]",627,tribonacci
"[21, 40, 200, 219, 1095, 1114]",5570,alternating_sequence
"[40, 219, 1114, 5589, 27964, 139839]",699214,linear_recursive
"[4, 16, 6, 20, 22, 26]",42,padovan
"[19, 4, 20, 39, 43, 63]",102,generate_sequence
"[6, 39, 45, 84, 129, 213]",342,fibonacci
"[17, 23, 63, 149, 361, 871]",2103,pell
"[46, 48, 52, 58, 66, 76]",88,step_up
"[9, 1, 5, -3, 1, -7]",-3,alternating_add_subtract
"[10, 10, 6, 16, 26, 32]",48,generate_sequence
"[17, 15, 11, 28, 43, 54]",82,generate_sequence
"[44, 58, 232, 246, 984, 998]",3992,alternating_sequence
"[96, 55, 14, -27, -68, -109]",-150,arithmetic
"[23, 17, 57, 131, 319, 769]",1857,pell
"[60, 82, 104, 126, 148, 170]",192,arithmetic
"[3, 37, 71, 105, 139, 173]",207,arithmetic
"[15, 6, 19, 34, 40, 59]",93,generate_sequence
"[72, 90, 108, 126, 144, 162]",180,arithmetic
"[46, 47, 140, 327, 794, 1915]",4624,pell
"[9, 8, 17, 16, 25, 24]",33,alternating_add_subtract
"[38, 20, 78, 176, 430, 1036]",2502,pell
"[20, 1, -18, -37, -56, -75]",-94,arithmetic
"[72, 74, 78, 84, 92, 102]",114,step_up
"[100, 97, 101, 98, 102, 99]",103,alternating_add_subtract
"[1, 13, 6, 7, 20, 26]",33,generate_sequence
"[16, 32, 64, 80, 160, 176]",352,alternating_sequence
"[36, 45, 55, 66, 78, 91]",105,triangular_sequence_randomized
"[2, 15, 80, 405, 2030, 10155]",50780,linear_recursive
"[71, 51, 31, 11, -9, -29]",-49,arithmetic
"[62, 54, 57, 49, 52, 44]",47,alternating_add_subtract
"[49, 2, 34, 85, 121, 240]",446,tribonacci
"[46, 37, 41, 32, 36, 27]",31,alternating_add_subtract
"[16, 2, 12, 18, 14, 30]",32,padovan
"[16, 14, 19, 35, 49, 68]",103,generate_sequence
"[13, 3, 16, 19, 35, 54]",89,fibonacci
"[92, 89, 86, 83, 80, 77]",74,arithmetic
"[3, 6, 12, 21, 33, 48]",66,step_up
"[32, 29, 61, 90, 151, 241]",392,fibonacci
"[28, 37, 111, 120, 360, 369]",1107,alternating_sequence
"[62, 109, 156, 203, 250, 297]",344,arithmetic
"[50, 44, 53, 47, 56, 50]",59,alternating_add_subtract
"[5, 31, 57, 83, 109, 135]",161,arithmetic
"[62, 38, 14, -10, -34, -58]",-82,arithmetic
"[84, 101, 118, 135, 152, 169]",186,arithmetic
"[5, 43, 31, 79, 153, 263]",495,tribonacci
"[136, 153, 171, 190, 210, 231]",253,triangular_sequence_randomized
"[5, 49, 103, 255, 613, 1481]",3575,pell
"[79, 37, -5, -47, -89, -131]",-173,arithmetic
"[20, 14, 12, 34, 26, 46]",60,padovan
"[28, 15, 58, 131, 320, 771]",1862,pell
"[3, 48, 44, 95, 187, 326]",608,tribonacci
"[59, 63, 71, 83, 99, 119]",143,step_up
"[45, 89, 133, 177, 221, 265]",309,arithmetic
"[12, 14, 18, 24, 32, 42]",54,step_up
"[75, 83, 91, 99, 107, 115]",123,arithmetic
"[64, 68, 76, 88, 104, 124]",148,step_up
"[45, 55, 66, 78, 91, 105]",120,triangular_sequence_randomized
"[14, 23, 37, 60, 97, 157]",254,fibonacci
"[43, 57, 114, 128, 256, 270]",540,alternating_sequence
"[66, 48, 30, 12, -6, -24]",-42,arithmetic
"[51, 65, 79, 93, 107, 121]",135,arithmetic
"[39, 124, 379, 1144, 3439, 10324]",30979,linear_recursive
"[9, 7, 13, 17, 27, 41]",65,fib_minus_const
"[17, 2, 3, 19, 5, 22]",24,padovan
"[14, 14, 42, 98, 238, 574]",1386,pell
"[38, 204, 1034, 5184, 25934, 129684]",648434,linear_recursive
"[27, 20, 41, 88, 149, 278]",515,tribonacci
"[72, 77, 87, 102, 122, 147]",177,step_up
"[37, 198, 1003, 5028, 25153, 125778]",628903,linear_recursive
"[66, 78, 91, 105, 120, 136]",153,triangular_sequence_randomized
"[37, 29, 37, 29, 37, 29]",37,alternating_add_subtract
"[7, 7, 13, 19, 31, 49]",79,fib_minus_const
"[29, 149, 749, 3749, 18749, 93749]",468749,linear_recursive
"[5, 20, 15, 25, 35, 40]",60,padovan
"[7, 5, 11, 15, 25, 39]",63,fib_minus_const
"[14, 33, 66, 85, 170, 189]",378,alternating_sequence
"[73, 90, 107, 124, 141, 158]",175,arithmetic
"[11, 4, 7, 18, 22, 29]",47,generate_sequence
"[41, 36, 46, 41, 51, 46]",56,alternating_add_subtract
"[37, 46, 129, 304, 737, 1778]",4293,pell
"[4, 30, 108, 342, 1044, 3150]",9468,linear_recursive
"[63, 98, 133, 168, 203, 238]",273,arithmetic
"[19, 20, 2, 21, 41, 43]",64,generate_sequence
"[48, 55, 220, 227, 908, 915]",3660,alternating_sequence
"[23, 47, 117, 281, 679, 1639]",3957,pell
"[40, 26, 66, 92, 158, 250]",408,fibonacci
"[3, 10, 8, 11, 21, 29]",40,generate_sequence
"[14, 18, 13, 32, 31, 45]",63,padovan
"[42, 48, 240, 246, 1230, 1236]",6180,alternating_sequence
"[11, 3, 22, 36, 61, 119]",216,tribonacci
"[28, 48, 16, 92, 156, 264]",512,tribonacci
"[6, 13, 9, 15, 28, 37]",52,generate_sequence
"[40, 19, 59, 78, 137, 215]",352,fibonacci
"[1, -1, 1, -1, 1, -1]",1,alternating_add_subtract
"[9, 27, 36, 63, 99, 162]",261,fibonacci
"[63, 63, 63, 63, 63, 63]",63,arithmetic
"[9, 46, 101, 248, 597, 1442]",3481,pell
"[41, 42, 44, 47, 51, 56]",62,step_up
"[18, 17, 16, 15, 14, 13]",12,arithmetic
"[15, 21, 28, 36, 45, 55]",66,triangular_sequence_randomized
