sequence,target,function,tier
"[120, 136, 153, 171, 190, 210]",231,triangular_sequence_randomized,2
"[26, 21, 23, 18, 20, 15]",17,alternating_add_subtract,2
"[16, 18, 20, 22, 24, 26]",28,arithmetic,3
"[1, 3, 6, 10, 15, 21]",28,triangular_sequence_randomized,2
"[5, 41, 1, 47, 89, 137]",273,tribonacci,2
"[25, 3, 31, 65, 161, 387]",935,pell,2
"[10, 6, 14, 18, 30, 46]",74,fib_minus_const,1
"[16, 18, 34, 52, 86, 138]",224,fibonacci,2
"[16, 2, 3, 18, 5, 21]",23,padovan,3
"[11, 13, 1, 12, 25, 26]",38,generate_sequence,2
"[9, 5, 11, 13, 21, 31]",49,fib_minus_const,1
"[19, 64, 109, 154, 199, 244]",289,arithmetic,3
"[38, 31, 39, 32, 40, 33]",41,alternating_add_subtract,2
"[44, 46, 50, 56, 64, 74]",86,step_up,2
"[34, 45, 14, 93, 152, 259]",504,tribonacci,2
"[56, 55, 60, 59, 64, 63]",68,alternating_add_subtract,2
"[7, 50, 107, 264, 635, 1534]",3703,pell,2
"[22, 30, 90, 98, 294, 302]",906,alternating_sequence,2
"[10, 7, 4, 17, 11, 21]",28,padovan,3
"[2, 12, 60, 70, 350, 360]",1800,alternating_sequence,2
"[7, 8, 11, 18, 26, 37]",55,generate_sequence,2
"[29, 33, 46, 108, 187, 341]",636,tribonacci,2
"[3, 7, 28, 32, 128, 132]",528,alternating_sequence,2
"[22, 18, 38, 78, 134, 250]",462,tribonacci,2
"[10, 46, 154, 478, 1450, 4366]",13114,linear_recursive,2
"[32, 51, 255, 274, 1370, 1389]",6945,alternating_sequence,2
"[40, 24, 64, 88, 152, 240]",392,fibonacci,2
"[80, 36, -8, -52, -96, -140]",-184,arithmetic,3
"[40, 7, 47, 54, 101, 155]",256,fibonacci,2
"[25, 132, 667, 3342, 16717, 83592]",417967,linear_recursive,2
"[46, 24, 31, 101, 156, 288]",545,tribonacci,2
"[25, 30, 55, 85, 140, 225]",365,fibonacci,2
"[15, 0, 0, 0, 0, 0]",0,geometric,2
"[31, 33, 97, 227, 551, 1329]",3209,pell,2
"[42, 169, 677, 2709, 10837, 43349]",173397,linear_recursive,2
"[25, 21, 31, 27, 37, 33]",43,alternating_add_subtract,2
"[73, 76, 82, 91, 103, 118]",136,step_up,2
"[19, 29, 116, 126, 504, 514]",2056,alternating_sequence,2
"[44, 37, 30, 23, 16, 9]",2,arithmetic,3
"[22, -20, -62, -104, -146, -188]",-230,arithmetic,3
"[18, 1, 2, 20, 21, 23]",43,generate_sequence,2
"[21, 28, 36, 45, 55, 66]",78,triangular_sequence_randomized,2
"[39, 14, -11, -36, -61, -86]",-111,arithmetic,3
"[28, 30, 120, 122, 488, 490]",1960,alternating_sequence,2
"[76, 61, 46, 31, 16, 1]",-14,arithmetic,3
"[10, 56, 286, 1436, 7186, 35936]",179686,linear_recursive,2
"[40, 22, 42, 104, 168, 314]",586,tribonacci,2
"[35, 85, 185, 385, 785, 1585]",3185,linear_recursive,2
"[8, 13, 6, 21, 19, 27]",40,padovan,3
"[52, 56, 64, 76, 92, 112]",136,step_up,2
"[100, 96, 98, 94, 96, 92]",94,alternating_add_subtract,2
"[11, 19, 6, 17, 36, 42]",59,generate_sequence,2
"[11, 14, 39, 92, 223, 538]",1299,pell,2
"[19, 14, 15, 33, 29, 48]",62,padovan,3
"[190, 210, 231, 253, 276, 300]",325,triangular_sequence_randomized,2
"[45, 55, 66, 78, 91, 105]",120,triangular_sequence_randomized,2
"[17, 48, 110, 234, 482, 978]",1970,linear_recursive,2
"[3, 8, 18, 33, 53, 78]",108,step_up,2
"[71, 30, -11, -52, -93, -134]",-175,arithmetic,3
"[37, 28, 37, 28, 37, 28]",37,alternating_add_subtract,2
"[10, 15, 75, 80, 400, 405]",2025,alternating_sequence,2
"[72, 62, 52, 42, 32, 22]",12,arithmetic,3
"[15, 4, 13, 19, 17, 32]",36,padovan,3
"[9, 34, 43, 77, 120, 197]",317,fibonacci,2
"[23, 20, 63, 146, 355, 856]",2067,pell,2
"[93, 83, 92, 82, 91, 81]",90,alternating_add_subtract,2
"[2, 19, 16, 21, 35, 37]",56,padovan,3
"[45, -1, -47, -93, -139, -185]",-231,arithmetic,3
"[9, -36, 144, -576, 2304, -9216]",36864,geometric,2
"[3, 5, 13, 31, 75, 181]",437,pell,2
"[36, 37, 73, 110, 183, 293]",476,fibonacci,2
"[30, 41, 82, 93, 186, 197]",394,alternating_sequence,2
"[77, 29, -19, -67, -115, -163]",-211,arithmetic,3
"[5, 20, 25, 45, 70, 115]",185,fibonacci,2
"[38, 1, -36, -73, -110, -147]",-184,arithmetic,3
"[13, 8, 16, 11, 19, 14]",22,alternating_add_subtract,2
"[16, 7, 17, 23, 24, 40]",47,padovan,3
"[6, 6, 8, 10, 14, 20]",30,fib_minus_const,1
"[210, 231, 253, 276, 300, 325]",351,triangular_sequence_randomized,2
"[28, 30, 34, 40, 48, 58]",70,step_up,2
"[8, 20, 12, 28, 32, 40]",60,padovan,3
"[13, 6, 8, 19, 14, 27]",33,padovan,3
"[12, 15, 21, 30, 42, 57]",75,step_up,2
"[28, 30, 17, 75, 122, 214]",411,tribonacci,2
"[66, 20, -26, -72, -118, -164]",-210,arithmetic,3
"[27, 3, 30, 33, 63, 96]",159,fibonacci,2
"[171, 190, 210, 231, 253, 276]",300,triangular_sequence_randomized,2
"[18, 12, 3, 21, 33, 36]",57,generate_sequence,2
"[8, 28, 112, 132, 528, 548]",2192,alternating_sequence,2
"[7, -2, 6, -3, 5, -4]",4,alternating_add_subtract,2
"[24, 13, 2, -9, -20, -31]",-42,arithmetic,3
"[17, 17, 17, 17, 17, 17]",17,geometric,2
"[16, 19, 25, 34, 46, 61]",79,step_up,2
"[29, 7, 36, 43, 79, 122]",201,fibonacci,2
"[67, 79, 91, 103, 115, 127]",139,arithmetic,3
"[32, 41, 164, 173, 692, 701]",2804,alternating_sequence,2
"[8, 10, 14, 20, 28, 38]",50,step_up,2
"[38, 20, 58, 78, 136, 214]",350,fibonacci,2
"[12, 11, 16, 28, 39, 55]",83,generate_sequence,2
"[41, 219, 1109, 5559, 27809, 139059]",695309,linear_recursive,2
"[2, 11, 3, 5, 16, 19]",24,generate_sequence,2
"[89, 90, 91, 92, 93, 94]",95,arithmetic,3
"[47, 65, 195, 213, 639, 657]",1971,alternating_sequence,2
"[36, 45, 55, 66, 78, 91]",105,triangular_sequence_randomized,2
"[8, 2, 9, 10, 18, 27]",44,fib_minus_const,1
"[43, 48, 47, 138, 233, 418]",789,tribonacci,2
"[89, 105, 121, 137, 153, 169]",185,arithmetic,3
"[16, 57, 98, 139, 180, 221]",262,arithmetic,3
"[7, 18, 2, 25, 20, 27]",45,padovan,3
"[6, 14, 8, 20, 22, 28]",42,padovan,3
"[40, 5, 45, 50, 95, 145]",240,fibonacci,2
"[5, 19, 3, 8, 27, 30]",38,generate_sequence,2
"[75, 80, 90, 105, 125, 150]",180,step_up,2
"[12, 2, 16, 28, 30, 46]",74,generate_sequence,2
"[16, 5, 11, 21, 16, 32]",37,padovan,3
"[17, 19, 6, 23, 42, 48]",71,generate_sequence,2
"[7, 9, 13, 19, 27, 37]",49,step_up,2
"[14, 77, 392, 1967, 9842, 49217]",246092,linear_recursive,2
"[28, 18, 46, 64, 110, 174]",284,fibonacci,2
"[36, 21, 78, 177, 432, 1041]",2514,pell,2
"[77, 59, 41, 23, 5, -13]",-31,arithmetic,3
"[18, 16, 11, 29, 45, 56]",85,generate_sequence,2
"[3, 11, 12, 14, 23, 26]",37,padovan,3
